1583026832000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.625441666666667 37.938235  72.5 6 0
1583027072000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.61744 37.93089  200.3 16.6 0
1583028363000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.596328333333336 37.93342666666667  4.4 16.4 0
1583028484000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.597035 37.942575000000005  8.3 12.9 0
1583029773000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.58172666666667 37.952618333333334  194.7 3.6 0
1583030045000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.600778333333334 37.957135  23.5 16.5 0
1583030222000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.601741666666666 37.95568166666667  213.2 13.2 0
1583030311000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.596796666666666 37.95176  221.9 13.8 0
1583031271000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.58172 37.944875  195.3 6 0
1583031722000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.600008333333335 37.93745166666667  198 16.5 0
1583031752000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.59915 37.935245  199.6 16.9 0
1583031843000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.595866666666666 37.928778333333334  193.4 16.7 0
1583031874000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.595473333333334 37.92639666666666  186.5 16.5 0
1583032652000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.59501 37.93113666666667  13.7 17.3 0
1583032741000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.596549999999997 37.93832833333333  4.4 17.2 0
1583032862000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.600408333333334 37.94339  146.1 12.2 0
1583033134000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.61455 37.93499833333333  220.7 17.4 0
1583034212000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.58927333333333 37.92599166666666  25.9 16.8 0
1583038018000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.623313333333332 37.937601666666666  64.1 9.7 0
1583038108000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.625576666666667 37.938430000000004  77.6 1.1 0
1583039576000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.619934999999998 37.936405  52.4 15.9 0
1583039638000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.62461 37.93806166666666  60.8 9.5 0
1583040916000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.61042666666667 37.93581  86.4 17.1 0
1583041036000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.622125 37.937419999999996  71.7 16.9 0
1583041065000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.624821666666666 37.93811166666667  71.5 13.5 0
1583041128000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.62615333333333 37.938298333333336  20.6 3.9 0
1583041156000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.624095 37.938473333333334  261.2 16.2 0
1583041402000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.617363333333333 37.935115  46.9 16.7 0
1583041492000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.624245 37.93799666666666  65.7 10.6 0
1583042033000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.595971666666667 37.951775  245.4 1.1 0
1583042386000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.593683333333335 37.93251  192.6 15.9 0
1583043315000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.6247 37.93804333333333  65.3 16.2 0
1583046228000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.624715 37.938115  66.3 10.1 0
1583047152000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.625395 37.93825666666667  77.6 11.3 0
1583048737000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.626291666666667 37.93821666666667  166.4 0.4 0
1583049963000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.626261666666668 37.938195  38.3 0.1 0
1583052750000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.618503333333333 37.93599833333334  222.2 15.8 0
1583053859000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.607386666666667 37.93618666666667  325.4 17.1 0
1583054279000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.625131666666668 37.93827666666667  84.9 12.8 0
1583057241000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.624198333333332 37.93819  79.4 16.6 0
1583057331000 f87c4a01-12db-458f-a24a-cc9ca083b7c5 23.6257 37.93900166666666  287.2 14.1 0
1583059605000 aaaf6376-8d33-4846-bb55-65a77cfc203f 23.623983333333335 37.93796833333333  75.6 11.4 0
